,product url,ranking,brand,product name,number of ratings,star rating,price(in dollar),color,compatible devices,connectivity technology,connector type,date first available
23,https://www.amazon.com/Amazon-Fire-Kids-tablet-Top-selling/dp/B0C8C2NZMQ/ref=zg_bs_g_pc_d_sccl_24/147-5900862-7338908?psc=1,#24,Amazon,"Amazon Fire 7 Kids tablet, ages 3-7. Top-selling 7"" kids tablet on Amazon - 2022 | 6-months of ad-free content with parental controls included, 10-hr battery, 16 GB, Blue","14,431",4.5,Price data not available,Color not available,Compatible devices data not available,Connectivity technology data not available,Connector type data not available,Date first available data not available
24,https://www.amazon.com/Fire-7-Tablet/dp/B096WKKK2K/ref=zg_bs_g_pc_d_sccl_25/147-5900862-7338908?psc=1,#25,Amazon,"Amazon Fire 7 tablet, 7” display, read and watch, under $60 with 10-hour battery life, (2022 release), 16 GB, Black","13,972",4.5,Price data not available,Color not available,Compatible devices data not available,Connectivity technology data not available,Connector type data not available,Date first available data not available
25,https://www.amazon.com/USB-C-Charger-Lenovo-Laptop-65W/dp/B07BKXMBHJ/ref=zg_bs_g_pc_d_sccl_26/147-5900862-7338908?psc=1,#26,Superer,"Charger for Lenovo Laptop, Thinkpad, Yoga, USB C, 65W 45W (UL Safety Certified)",990,4.4,Price data not available,Color not available,65W Lenovo Laptop Charger,USB,USB Type C," January 1, 2017 "
26,https://www.amazon.com/Dell-Display-Docking-Station-D3100/dp/B00O0M46KO/ref=zg_bs_g_pc_d_sccl_27/147-5900862-7338908?psc=1,#27,Dell,"Dell USB 3.0 Ultra HD/4K Triple Display Docking Station (D3100), Black","10,244",4.3,Price data not available,Black,Dell Notebooks/ Tablet PC,Connectivity technology data not available,Connector type data not available,"
                ‎September 30, 2014 "
27,https://www.amazon.com/IdeaPad-Laptop-Charger-Lenovo-Adapter/dp/B08X4M4LBR/ref=zg_bs_g_pc_d_sccl_28/147-5900862-7338908?psc=1,#28,Superer,"Charger for Lenovo Laptop Charger - 65W 45W, (UL Safety Certified)","3,243",4.4,Price data not available,Color not available,Lenovo Laptop Charger 65W,Wired,Round Power Connector,"
                ‎February 22, 2021 "
28,https://www.amazon.com/ARRIS-Surfboard-S33-Multi-Gigabit-Ethernet/dp/B08FMSC5WZ/ref=zg_bs_g_pc_d_sccl_29/147-5900862-7338908?psc=1,#29,ARRIS,"ARRIS Surfboard S33 DOCSIS 3.1 Multi-Gigabit Cable Modem | Approved for Comcast Xfinity, Cox, Spectrum & More | 1 & 2.5 Gbps Ports | 2.5 Gbps Max Internet Speeds | 4 OFDM Channels | 2 Year Warranty","3,131",,Price data not available,Color not available,"Personal Computer, Router, Ethernet connected devices",Ethernet,Connector type data not available," October 4, 2020 "
29,https://www.amazon.com/Apple-96W-USB-C-Power-Adapter/dp/B081FVQCHQ/ref=zg_bs_g_pc_d_sccl_30/147-5900862-7338908?psc=1,#30,Apple,Apple 96W USB-C Power Adapter,"2,034",,41.39,White,,USB,USB Type C,Date first available data not available
30,https://www.amazon.com/Mac-Book-Pro-Charger-Compatible/dp/B097PTBB5V/ref=zg_bs_g_pc_d_sccl_31/147-5900862-7338908?psc=1,#31,ixcv,"Mac Book Pro Charger - 118W USB C Charger Fast Charger Compatible with MacBook Pro/Air, iPad Pro, Samsung Galaxy, and More USB-C Devices(7.2 ft Cable Included)","7,773",4.6,Price data not available,118W MacBook Pro Charger-White,,USB,USB Type C," July 3, 2021 "
31,https://www.amazon.com/Eero-6-Extender/dp/B085VQVPJK/ref=zg_bs_g_pc_d_sccl_32/147-5900862-7338908?psc=1,#32,Brand data not available,Amazon eero 6 dual-band mesh Wi-Fi 6 extender - expands existing eero network,"5,230",,Price data not available,Color not available,Compatible devices data not available,Connectivity technology data not available,Connector type data not available,Date first available data not available
32,https://www.amazon.com/Aluminum-Extender-Splitter-MacBook-Devices/dp/B0C9D6PDMT/ref=zg_bs_g_pc_d_sccl_33/147-5900862-7338908?psc=1,#33,vienon,"VIENON Aluminum 7 in 1 USB C Hub with USB 3.0, USB 2.0 Ports for MacBook Pro Air and More Devices",319,4.6,Price data not available,Silver,"Mac Pro, iMac, iPad Pro, Chromebook, Pixelbook, Dell XPS, Samsung, and More PC, Laptop, Tablet",Connectivity technology data not available,Connector type data not available," June 26, 2023 "
